title,company,location,country,salary,date_posted,url
Telesales Executive,TanbishAntelias·Lebanon,TanbishAntelias·Lebanon,Lebanon,$0 - $500,Yesterday,https://www.bayt.com/en/lebanon/jobs/telesales-executive-5382417/
HR Assistant,Forearms SecurityBeirut·Lebanon,Forearms SecurityBeirut·Lebanon,Lebanon,"$500 - $1,000",Yesterday,https://www.bayt.com/en/lebanon/jobs/hr-assistant-5382892/
Business Development Officer,Bayt.comBeirut·Lebanon,Bayt.comBeirut·Lebanon,Lebanon,N/A,2 days ago,https://www.bayt.com/en/lebanon/jobs/business-development-officer-5382775/
Full Stack Web Developer (PHP/React) - REMOTE,CigoBeirut·Lebanon,CigoBeirut·Lebanon,Lebanon,"$2,000 - $3,000",2 days ago,https://www.bayt.com/en/lebanon/jobs/full-stack-web-developer-php-react-remote-5382590/
Junior Electromechanical,Scale groupAntelias·Lebanon,Scale groupAntelias·Lebanon,Lebanon,N/A,2 days ago,https://www.bayt.com/en/lebanon/jobs/junior-electromechanical-5352747/
Van Salesman,House of ConceptsAntelias·Lebanon,House of ConceptsAntelias·Lebanon,Lebanon,"$500 - $1,000",2 days ago,https://www.bayt.com/en/lebanon/jobs/van-salesman-5382373/
Accountant,AjialounaBeirut·Lebanon,AjialounaBeirut·Lebanon,Lebanon,"$500 - $1,000",2 days ago,https://www.bayt.com/en/lebanon/jobs/accountant-5382383/
Reservation Agent,Race Rent a CarJal Al Dib·Lebanon,Race Rent a CarJal Al Dib·Lebanon,Lebanon,"$500 - $1,000",2 days ago,https://www.bayt.com/en/lebanon/jobs/reservation-agent-5382543/
Senior Graphic Designer,Alliance motors offshore S.A.LBeirut·Lebanon,Alliance motors offshore S.A.LBeirut·Lebanon,Lebanon,"$1,000 - $1,500",3 days ago,https://www.bayt.com/en/lebanon/jobs/senior-graphic-designer-5382357/
Estimator,Confidential Company,Confidential CompanyLebanon,Lebanon,N/A,3 days ago,https://www.bayt.com/en/lebanon/jobs/estimator-5382342/
Sales Executive in Freight & Logistics,PrimeTalentBeirut·Lebanon,PrimeTalentBeirut·Lebanon,Lebanon,"$1,000 - $1,500",3 days ago,https://www.bayt.com/en/lebanon/jobs/sales-executive-in-freight-logistics-5382335/
Insurance Consultant and or Unit Leader,BankersLebanon,BankersLebanon,Lebanon,"$1,500 - $2,000",3 days ago,https://www.bayt.com/en/lebanon/jobs/insurance-consultant-and-or-unit-leader-5355402/
IT Project Manager,Engineering and Marketing InternationalLebanon,Engineering and Marketing InternationalLebanon,Lebanon,"$2,000 - $3,000",3 days ago,https://www.bayt.com/en/lebanon/jobs/it-project-manager-5382197/
Sales Consultant,SDGroupBeirut·Lebanon,SDGroupBeirut·Lebanon,Lebanon,N/A,4 days ago,https://www.bayt.com/en/lebanon/jobs/sales-consultant-5382106/
Office Secretary,Scale groupAntelias·Lebanon,Scale groupAntelias·Lebanon,Lebanon,N/A,4 days ago,https://www.bayt.com/en/lebanon/jobs/office-secretary-5349879/
MEP Technician,Scale groupAntelias·Lebanon,Scale groupAntelias·Lebanon,Lebanon,N/A,4 days ago,https://www.bayt.com/en/lebanon/jobs/mep-technician-5350016/
Outdoor Sales Representative,Scale groupLebanon,Scale groupLebanon,Lebanon,N/A,4 days ago,https://www.bayt.com/en/lebanon/jobs/outdoor-sales-representative-5367345/
Insurance Advisor,Financial Freedom AgencyJal Al Dib·Lebanon,Financial Freedom AgencyJal Al Dib·Lebanon,Lebanon,N/A,6 days ago,https://www.bayt.com/en/lebanon/jobs/insurance-advisor-5289937/
Potential Unit Leader - Insurance,Confidential Company,Confidential CompanyBeirut·Lebanon,Lebanon,N/A,6 days ago,https://www.bayt.com/en/lebanon/jobs/potential-unit-leader-insurance-5341423/
Insurance Financial Advisor,Confidential Company,Confidential CompanyBeirut·Lebanon,Lebanon,N/A,6 days ago,https://www.bayt.com/en/lebanon/jobs/insurance-financial-advisor-5322018/
Personal Trainer,PT Boutique PrivéBaabda·Lebanon,PT Boutique PrivéBaabda·Lebanon,Lebanon,N/A,6 days ago,https://www.bayt.com/en/lebanon/jobs/personal-trainer-5380275/
HR Assistant,Alain for trading and developmentLebanon,Alain for trading and developmentLebanon,Lebanon,"$500 - $1,000",6 days ago,https://www.bayt.com/en/lebanon/jobs/hr-assistant-5377434/
Social Media Manager,MazimigoLebanon,MazimigoLebanon,Lebanon,N/A,6 days ago,https://www.bayt.com/en/lebanon/jobs/social-media-manager-5379464/
Creative Graphic Designer,MazimigoBeirut·Lebanon,MazimigoBeirut·Lebanon,Lebanon,N/A,6 days ago,https://www.bayt.com/en/lebanon/jobs/creative-graphic-designer-5379669/
Digital Marketing Specialist,MazimigoBeirut·Lebanon,MazimigoBeirut·Lebanon,Lebanon,N/A,6 days ago,https://www.bayt.com/en/lebanon/jobs/digital-marketing-specialist-5379668/
Personal Assistant,Silkor - Laser Medical CenterBeirut·Lebanon,Silkor - Laser Medical CenterBeirut·Lebanon,Lebanon,"$1,000 - $1,500",7 days ago,https://www.bayt.com/en/lebanon/jobs/personal-assistant-5379031/
Accountant,Wakim GroupLebanon,Wakim GroupLebanon,Lebanon,N/A,9 days ago,https://www.bayt.com/en/lebanon/jobs/accountant-5377424/
IT Support,sbcKaslik·Lebanon,sbcKaslik·Lebanon,Lebanon,N/A,9 days ago,https://www.bayt.com/en/lebanon/jobs/it-support-5375115/
HR Manager,Alain for trading and developmentBatroun·Lebanon,Alain for trading and developmentBatroun·Lebanon,Lebanon,"$1,000 - $1,500",9 days ago,https://www.bayt.com/en/lebanon/jobs/hr-manager-5377092/
Sales and Operations Specialist,SPG Works (EQSH Lebanon)Jal Al Dib·Lebanon,SPG Works (EQSH Lebanon)Jal Al Dib·Lebanon,Lebanon,"$1,000 - $1,500",11 days ago,https://www.bayt.com/en/lebanon/jobs/sales-and-operations-specialist-5374500/
